ATCC_names,DH_names,BW_names,MG_names
DR76_RS00145,ECDH10B_RS11590,BW25113_RS11085,b2125
DR76_RS00180,ECDH10B_RS11625,BW25113_RS11120,b2131
DR76_RS00480,ECDH10B_RS11925,BW25113_RS11420,b2188
DR76_RS00885,ECDH10B_RS12235,BW25113_RS11730,b2245
DR76_RS01300,ECDH10B_RS12680,BW25113_RS12170,b2331
DR76_RS01715,ECDH10B_RS13160,BW25113_RS12645,b2424
DR76_RS01860,ECDH10B_RS13360,BW25113_RS12845,b2464
DR76_RS01865,ECDH10B_RS13365,BW25113_RS12850,b2465
DR76_RS02000,ECDH10B_RS13560,BW25113_RS13045,b2501
DR76_RS02100,ECDH10B_RS13645,BW25113_RS13130,b2517
DR76_RS02245,ECDH10B_RS13820,BW25113_RS13305,b2552
DR76_RS02260,ECDH10B_RS13835,BW25113_RS13320,b2555
DR76_RS02265,ECDH10B_RS13840,BW25113_RS13325,b2556
DR76_RS02285,ECDH10B_RS13860,BW25113_RS13345,b2560
DR76_RS02375,ECDH10B_RS13955,BW25113_RS13440,b2575
DR76_RS02425,ECDH10B_RS14010,BW25113_RS13495,b2584
DR76_RS02585,ECDH10B_RS21065,BW25113_RS20480,b3946
DR76_RS03000,ECDH10B_RS20660,BW25113_RS20090,b3871
DR76_RS03510,ECDH10B_RS20275,BW25113_RS19705,b3794
DR76_RS03520,ECDH10B_RS20265,BW25113_RS19695,b4481
DR76_RS03530,ECDH10B_RS20255,BW25113_RS19685,b3791
DR76_RS03535,ECDH10B_RS20250,BW25113_RS19680,b3790
DR76_RS04140,ECDH10B_RS19595,BW25113_RS19040,b3665
DR76_RS04435,ECDH10B_RS19445,BW25113_RS18890,b3638
DR76_RS04520,ECDH10B_RS19350,BW25113_RS18795,b3619
DR76_RS04535,ECDH10B_RS19330,BW25113_RS18775,b3615
DR76_RS04550,ECDH10B_RS19315,BW25113_RS18760,b3612
DR76_RS04690,ECDH10B_RS19140,BW25113_RS18585,b3580
DR76_RS04720,ECDH10B_RS19115,BW25113_RS18560,b3575
DR76_RS04980,ECDH10B_RS18850,BW25113_RS18295,b3529
DR76_RS05040,ECDH10B_RS18790,BW25113_RS18235,b3518
DR76_RS05170,ECDH10B_RS18680,BW25113_RS18125,b3500
DR76_RS05385,ECDH10B_RS18460,BW25113_RS17905,b3459
DR76_RS05750,ECDH10B_RS18160,BW25113_RS17605,b3398
DR76_RS06395,ECDH10B_RS17475,BW25113_RS16925,b3264
DR76_RS06695,ECDH10B_RS17170,BW25113_RS16615,b3206
DR76_RS06810,ECDH10B_RS17055,BW25113_RS16500,b3183
DR76_RS07315,ECDH10B_RS16515,BW25113_RS15960,b3073
DR76_RS07325,ECDH10B_RS16505,BW25113_RS15950,b3071
DR76_RS07330,ECDH10B_RS16500,BW25113_RS15945,b3070
DR76_RS07395,ECDH10B_RS16435,BW25113_RS15880,b3057
DR76_RS08735,ECDH10B_RS15850,BW25113_RS15315,b2949
DR76_RS08810,ECDH10B_RS15780,BW25113_RS15245,b2935
DR76_RS09555,ECDH10B_RS15080,BW25113_RS14555,b2798
DR76_RS10145,ECDH10B_RS14480,BW25113_RS13965,b2684
DR76_RS10250,ECDH10B_RS14380,BW25113_RS13870,b2664
DR76_RS10270,ECDH10B_RS14360,BW25113_RS13850,b2660
DR76_RS10275,ECDH10B_RS14355,BW25113_RS13845,b2659
DR76_RS10405,ECDH10B_RS14060,BW25113_RS13545,b2593
DR76_RS10640,ECDH10B_RS21415,BW25113_RS20820,b4013
DR76_RS10995,ECDH10B_RS21670,BW25113_RS21080,b4059
DR76_RS11190,ECDH10B_RS21840,BW25113_RS21240,b4089
DR76_RS11305,ECDH10B_RS21955,BW25113_RS21355,b4112
DR76_RS11510,ECDH10B_RS22160,BW25113_RS21560,b4148
DR76_RS11520,ECDH10B_RS22170,BW25113_RS21570,b4150
DR76_RS12290,ECDH10B_RS10950,BW25113_RS10445,b2000
DR76_RS12800,ECDH10B_RS23040,BW25113_RS22695,b4359
DR76_RS12990,ECDH10B_RS23225,BW25113_RS22880,b4392
DR76_RS13010,ECDH10B_RS23245,BW25113_RS22900,b4396
DR76_RS13090,ECDH10B_RS00045,BW25113_RS00045,b0008
DR76_RS13840,ECDH10B_RS00625,BW25113_RS00720,b0144
DR76_RS14100,ECDH10B_RS00885,BW25113_RS00980,b0195
DR76_RS14545,ECDH10B_RS10895,BW25113_RS10390,b1990
DR76_RS15030,ECDH10B_RS10725,BW25113_RS10220,b1956
DR76_RS15415,ECDH10B_RS10345,BW25113_RS09845,b1878
DR76_RS16190,ECDH10B_RS09570,BW25113_RS09070,b1734
DR76_RS16475,ECDH10B_RS09280,BW25113_RS08780,b1678
DR76_RS16920,ECDH10B_RS08840,BW25113_RS08335,b1593
DR76_RS17880,ECDH10B_RS07965,BW25113_RS07470,b1424
DR76_RS18000,ECDH10B_RS07725,BW25113_RS07230,b1378
DR76_RS18480,ECDH10B_RS07085,BW25113_RS06585,b1263
DR76_RS18550,ECDH10B_RS06725,BW25113_RS06510,b1249
DR76_RS21350,ECDH10B_RS05220,BW25113_RS04915,b0948
DR76_RS21435,ECDH10B_RS05100,BW25113_RS04795,b0925
DR76_RS21930,ECDH10B_RS04590,BW25113_RS04285,b0825
DR76_RS21955,ECDH10B_RS04560,BW25113_RS04255,b0819
DR76_RS22085,ECDH10B_RS04435,BW25113_RS04130,b0795
DR76_RS22175,ECDH10B_RS04345,BW25113_RS04040,b0778
DR76_RS22445,ECDH10B_RS04065,BW25113_RS03765,b0727
DR76_RS22565,ECDH10B_RS03895,BW25113_RS03595,b0695
DR76_RS23445,ECDH10B_RS02265,BW25113_RS02505,b0485
DR76_RS23540,ECDH10B_RS02170,BW25113_RS02410,b0466
DR76_RS23950,ECDH10B_RS01755,BW25113_RS01995,b0385
DR76_RS24090,ECDH10B_RS01590,BW25113_RS01835,b0355
DR76_RS24545,ECDH10B_RS01030,BW25113_RS01125,b0222
DR76_RS25070,ECDH10B_RS11105,BW25113_RS10600,b2029
DR76_RS25075,ECDH10B_RS11200,BW25113_RS10695,b2048
DR76_RS25150,ECDH10B_RS11200,BW25113_RS10695,b2048
DR76_RS25155,ECDH10B_RS11205,BW25113_RS10700,b2049
